sample_id	cut_off_reads	unmapped_ratios	cut_off_unmapped	ercc_percentage	cut_off_ercc	cut_off_genes	ercc_conversion	conversion	conversion_outlier	filter_all
20170905-A01	TRUE	0.292823352211247	TRUE	0.061617502779249	TRUE	TRUE	0.0408462313398663	0.0945561127513826	FALSE	TRUE
20170905-A02	TRUE	0.313198785981401	TRUE	0.139941024447815	TRUE	TRUE	0.0260637371567888	0.0761060274786083	FALSE	TRUE
20170905-A03	TRUE	0.304047076877855	TRUE	0.113531313308613	TRUE	TRUE	0.0266294107226257	0.0733992201739231	FALSE	TRUE
20170905-A04	TRUE	0.37383379561255	TRUE	0.304770073164482	FALSE	FALSE	0.0266833687967602	0.0988216178400966	FALSE	FALSE
20170905-A05	TRUE	0.40506243850571	TRUE	0.238250528690828	FALSE	FALSE	0.0259582665071324	0.10444036814148	FALSE	FALSE
20170905-A06	TRUE	0.273890828789965	TRUE	0.078789539960038	TRUE	TRUE	0.0314604928810551	0.078703096526589	FALSE	TRUE
20170905-A07	TRUE	0.27262864797339	TRUE	0.0717292593334448	TRUE	TRUE	0.0354711407537329	0.0846464491444969	FALSE	TRUE
20170905-A08	TRUE	0.27867440549502	TRUE	0.0849482540754485	TRUE	TRUE	0.0318096135721018	0.0786045064477732	FALSE	TRUE
20170905-A09	TRUE	0.267791855922054	TRUE	0.103250890395388	TRUE	TRUE	0.0347541353807938	0.0853313041442285	FALSE	TRUE
20170905-A10	TRUE	0.287069098664862	TRUE	0.0918016488213651	TRUE	TRUE	0.030365343752142	0.0779222065119669	FALSE	TRUE
20170905-A11	TRUE	0.285555688910226	TRUE	0.124244554902112	TRUE	TRUE	0.0313815287318722	0.0808543628024437	FALSE	TRUE
20170905-A12	TRUE	0.342382223268501	TRUE	0.136021281535466	TRUE	TRUE	0.0286539781829278	0.082791193608458	FALSE	TRUE
20170905-B01	TRUE	0.285379154084052	TRUE	0.0662038193400178	TRUE	TRUE	0.0381900777660858	0.0907474961500235	FALSE	FALSE
20170905-B02	TRUE	0.322461124285138	TRUE	0.0182883554832294	TRUE	TRUE	0.15726379534079	0.256563211468015	FALSE	FALSE
20170905-B03	TRUE	0.290140868955693	TRUE	0.0987543350414691	TRUE	TRUE	0.0308238163876261	0.0788184360041405	FALSE	TRUE
20170905-B04	TRUE	0.282964060069359	TRUE	0.110504742276385	TRUE	TRUE	0.0253917790890252	0.0695546651686649	FALSE	TRUE
20170905-B05	TRUE	0.335433652978099	TRUE	0.13488616866975	TRUE	TRUE	0.0247414832201992	0.0749202305275916	FALSE	TRUE
20170905-B06	TRUE	0.27699492360784	TRUE	0.0539319795553754	TRUE	TRUE	0.0498642076675298	0.11056920084993	FALSE	FALSE
20170905-B07	TRUE	0.264884580356541	TRUE	0.0871903017497737	TRUE	TRUE	0.0333086688093972	0.0792702531596619	FALSE	TRUE
20170905-B08	TRUE	0.262565708438548	TRUE	0.0819724309692433	TRUE	TRUE	0.034288998897309	0.0835708208826993	FALSE	TRUE
20170905-B09	TRUE	0.271184536510319	TRUE	0.112751656234794	TRUE	TRUE	0.0297100414226539	0.0781810800048253	FALSE	TRUE
20170905-B10	TRUE	0.270897017514871	TRUE	0.127077711914222	TRUE	TRUE	0.0289519881851367	0.0776186785794953	FALSE	TRUE
