name	type	checksum	instrument	read_length	library
20170905-E07-NA18855.fastq.gz	fastq	6084811392763c0da2a6a7d792cf0fe7	HiSeq 2500	50	single
20170905-E08-NA18855.fastq.gz	fastq	16af908e62473193b932b7fd738d9c71	HiSeq 2500	50	single
20170905-E09-NA18855.fastq.gz	fastq	fc78b9a46546ec4e3c98e1bffdbdfd8c	HiSeq 2500	50	single
20170905-E10-NA18855.fastq.gz	fastq	7b6287f507af14372ba56c9d5b9745f2	HiSeq 2500	50	single
20170905-E11-NA18870.fastq.gz	fastq	7cc60f71ca8ce434ec7347e31d6012b9	HiSeq 2500	50	single
20170905-E12-NA18870.fastq.gz	fastq	b03f887e045b02b40fbdade408f56e5b	HiSeq 2500	50	single
20170905-F01-NA18870.fastq.gz	fastq	5527654e97a5bdbf1876ab68abd869a6	HiSeq 2500	50	single
20170905-F02-NA18870.fastq.gz	fastq	9167422b44da685633ef38614d8352d9	HiSeq 2500	50	single
20170905-F03-NA18855.fastq.gz	fastq	c0220af531c4a76b1a0a0f9349393186	HiSeq 2500	50	single
20170905-F04-NA18855.fastq.gz	fastq	c37f61cfe626f8ab0c4f27624f87f12f	HiSeq 2500	50	single
20170905-F05-NA18855.fastq.gz	fastq	86a8a2c775edcc45de5056fbab00c114	HiSeq 2500	50	single
20170905-F06-NA18855.fastq.gz	fastq	90227e7d5e668ea215c0a08bba761c2f	HiSeq 2500	50	single
20170905-F07-NA18855.fastq.gz	fastq	9ed5f5fb8b2221654f51fe0b9819942f	HiSeq 2500	50	single
20170905-F08-NA18870.fastq.gz	fastq	267a1d228dfe3da0b165a99c5d67d03c	HiSeq 2500	50	single
20170905-F09-NA18870.fastq.gz	fastq	fc0f2e648e7c6c4f5383d853a458949e	HiSeq 2500	50	single
20170905-F10-NA18870.fastq.gz	fastq	6652e44690ddcf3aa5f090134524d01e	HiSeq 2500	50	single
20170905-F11-NA18855.fastq.gz	fastq	38d067cb29a18b6aa9b403becab5b77e	HiSeq 2500	50	single
20170905-F12-NA18855.fastq.gz	fastq	8b30224f4706d6dce0490da5c4a6cd15	HiSeq 2500	50	single
20170905-G01-NA18870.fastq.gz	fastq	10050c57d142eb9af1f74ac1f679ca41	HiSeq 2500	50	single
20170905-G02-NA18855.fastq.gz	fastq	1e4bc9edd33d66675bb40a801eff364e	HiSeq 2500	50	single
20170905-G03-NA18870.fastq.gz	fastq	5783d2aa619b1ad3212e169f86c14821	HiSeq 2500	50	single
20170905-G04-NA18870.fastq.gz	fastq	8cd51d5ad72335fc8084cbd28a9d6145	HiSeq 2500	50	single
20170905-G05-NA18870.fastq.gz	fastq	8d9141112f2499c87561eb9622a2bb8d	HiSeq 2500	50	single
20170905-G06-NA18855.fastq.gz	fastq	095571cfa615c412ec974a7be205b437	HiSeq 2500	50	single
20170905-G07-NA18870.fastq.gz	fastq	abf13428151bde66e757ca13e443ecae	HiSeq 2500	50	single
20170905-G08-NA18855.fastq.gz	fastq	02a4425bd0ff2b87025faab793c12128	HiSeq 2500	50	single
20170905-G09-NA18870.fastq.gz	fastq	f1322567a5c1afb20eda5c626a39e7bf	HiSeq 2500	50	single
20170905-G10-NA18855.fastq.gz	fastq	d02e453437b93f9839f3d3a19f3d2e21	HiSeq 2500	50	single
20170905-G11-NA18855.fastq.gz	fastq	e4b3f5c9ed777244f712ab0d3da05234	HiSeq 2500	50	single
20170905-G12-NA18855.fastq.gz	fastq	37030e4c80a310826ad6f9ae1568b18b	HiSeq 2500	50	single
20170905-H01-NA18855.fastq.gz	fastq	5d9c6e8572f7fd27bff5fc2c4e00f8db	HiSeq 2500	50	single
20170905-H02-NA18855.fastq.gz	fastq	3b6c013da46efd9c3c196cedc904326c	HiSeq 2500	50	single
20170905-H03-NA18855.fastq.gz	fastq	3e2a00347da65d403c8ac3d80a684ece	HiSeq 2500	50	single
20170905-H04-NA18870.fastq.gz	fastq	c7a221bfaccb4f456b5d1981f20bf89f	HiSeq 2500	50	single
20170905-H05-NA18870.fastq.gz	fastq	14228870fb86882526fff2202a5d5197	HiSeq 2500	50	single
20170905-H06-NA18870.fastq.gz	fastq	f6578dcafa6ba9a544154bcb728c27b3	HiSeq 2500	50	single
20170905-H07-NA18870.fastq.gz	fastq	a4a4989ad9475d19fbf752afbccd15f7	HiSeq 2500	50	single
20170905-H08-NA18870.fastq.gz	fastq	be1b20b5275b4daa6ddfbd84eb6bd93d	HiSeq 2500	50	single
20170905-H09-NA18870.fastq.gz	fastq	dd753909e082847746c982c7675c341d	HiSeq 2500	50	single
20170905-H10-NA18870.fastq.gz	fastq	f377b85625335f596415bf6332ebbce3	HiSeq 2500	50	single
20170905-H11-NA18870.fastq.gz	fastq	abd680250796404602ab0f10057f888e	HiSeq 2500	50	single
20170905-H12-NA18870.fastq.gz	fastq	102987cd55e725cdbe3846780e61aa7d	HiSeq 2500	50	single
20170906-A01-NA19098.fastq.gz	fastq	13c026e488e578fc5bbd66be4138d739	HiSeq 2500	50	single
20170906-A02-NA19098.fastq.gz	fastq	9e760c95eb73cae4cb13790d8425800a	HiSeq 2500	50	single
