experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170906	B12	1	1.633390557	1:50000	NA19098	NA19101	19101_19098	00060
20170906	C01	1	1.950261869	1:50000	NA19098	NA19101	19101_19098	00015
20170906	C02	1	2.003144965	1:50000	NA19098	NA19101	19101_19098	00014
20170906	C03	1	1.94794324	1:50000	NA19098	NA19101	19101_19098	00013
20170906	C04	1	1.656438967	1:50000	NA19098	NA19101	19101_19098	00061
20170906	C05	1	1.947268121	1:50000	NA19098	NA19101	19101_19098	00062
20170906	C06	1	1.355780263	1:50000	NA19098	NA19101	19101_19098	00063
20170906	C07	1	1.682901629	1:50000	NA19098	NA19101	19101_19098	00018
20170906	C08	1	1.722405229	1:50000	NA19098	NA19101	19101_19098	00017
20170906	C09	1	1.616751891	1:50000	NA19098	NA19101	19101_19098	00016
20170906	C10	1	0.556472253	1:50000	NA19098	NA19101	19101_19098	00064
20170906	C11	1	1.664351474	1:50000	NA19098	NA19101	19101_19098	00065
20170906	C12	1	1.070927172	1:50000	NA19098	NA19101	19101_19098	00066
20170906	D01	1	2.282918631	1:50000	NA19098	NA19101	19101_19098	00021
20170906	D02	1	2.182188609	1:50000	NA19098	NA19101	19101_19098	00020
20170906	D03	1	0.556701123	1:50000	NA19098	NA19101	19101_19098	00019
20170906	D04	1	0.310507753	1:50000	NA19098	NA19101	19101_19098	00067
20170906	D05	1	1.788241396	1:50000	NA19098	NA19101	19101_19098	00068
20170906	D06	2	0.706863952	1:50000	NA19098	NA19101	19101_19098	00069
20170906	D07	1	1.418424749	1:50000	NA19098	NA19101	19101_19098	00024
20170906	D08	1	1.801000707	1:50000	NA19098	NA19101	19101_19098	00023
20170906	D09	1	0.516883959	1:50000	NA19098	NA19101	19101_19098	00022
20170906	D10	1	2.152192952	1:50000	NA19098	NA19101	19101_19098	00070
20170906	D11	1	2.536027402	1:50000	NA19098	NA19101	19101_19098	00071
20170906	D12	1	1.872119148	1:50000	NA19098	NA19101	19101_19098	00072
20170906	E01	1	0.516760708	1:50000	NA19098	NA19101	19101_19098	00025
20170906	E02	7	1.662303327	1:50000	NA19098	NA19101	19101_19098	00026
20170906	E03	1	0.528432416	1:50000	NA19098	NA19101	19101_19098	00027
20170906	E04	1	2.192028055	1:50000	NA19098	NA19101	19101_19098	00075
20170906	E05	1	0.980466374	1:50000	NA19098	NA19101	19101_19098	00074
20170906	E06	1	2.173205635	1:50000	NA19098	NA19101	19101_19098	00073
20170906	E07	1	2.263038102	1:50000	NA19098	NA19101	19101_19098	00028
20170906	E08	1	2.036988725	1:50000	NA19098	NA19101	19101_19098	00029
20170906	E09	1	1.238884674	1:50000	NA19098	NA19101	19101_19098	00030
20170906	E10	1	1.226985524	1:50000	NA19098	NA19101	19101_19098	00078
20170906	E11	1	1.938541594	1:50000	NA19098	NA19101	19101_19098	00077
20170906	E12	2	0.655157777	1:50000	NA19098	NA19101	19101_19098	00076
20170906	F01	1	1.930465253	1:50000	NA19098	NA19101	19101_19098	00031
20170906	F02	1	1.388312066	1:50000	NA19098	NA19101	19101_19098	00032
20170906	F03	1	1.036845451	1:50000	NA19098	NA19101	19101_19098	00033
